Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2016-152156,42682,42685,Second Class,CG-12520,South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.9136
CA-2016-152156,42682,42685,Second Class,CG-12520,South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.582
CA-2016-138688,42533,42537,Second Class,DV-13045,West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
US-2015-108966,42288,42295,Standard Class,SO-20335,South,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031
US-2015-108966,42288,42295,Standard Class,SO-20335,South,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,OFF-AR-10002833,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3091999999998
CA-2014-115812,41799,41804,Standard Class,BH-11710,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2017-114412,42840,42845,Standard Class,AA-10480,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432
CA-2016-161389,42709,42714,Standard Class,IM-15070,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
US-2015-118983,42330,42334,Standard Class,HP-14815,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858
US-2015-118983,42330,42334,Standard Class,HP-14815,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816
CA-2014-105893,41954,41961,Standard Class,PK-19075,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0,13.3176
CA-2014-167164,41772,41774,Second Class,AG-10270,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2014-143336,41878,41883,Second Class,ZD-21925,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
CA-2014-143336,41878,41883,Second Class,ZD-21925,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2014-143336,41878,41883,Second Class,ZD-21925,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2016-137330,42713,42717,Standard Class,KB-16585,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.0596
CA-2016-137330,42713,42717,Standard Class,KB-16585,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.6884
US-2017-156909,42932,42934,Second Class,SF-20065,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196
CA-2015-106320,42272,42277,Standard Class,EB-13870,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2016-121755,42385,42389,Second Class,EH-13945,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
